id,etapa,natureza,como,endereco,abre_hoje,falta,irmaos
MKT-001,E10,"página/painel a compor",so-url,/,sim,"",0
MKT-002,E10,"seção da landing page",so-url,?section=product,sim,"",0
MKT-003,E10,"seção da landing page",so-url,?section=plans,sim,"",0
MKT-004,E10,"página/painel a compor",so-url,/product,sim,"",0
MKT-005,E10,"página/painel a compor",so-url,/plans,sim,"",0
MKT-006,E10,"página/painel a compor",estado-partilhado,/onboarding,sim,"",2
MKT-007,E10,"página/painel a compor",so-url,/demo,sim,"",0
MKT-008,E10,"página/painel a compor",so-url,/trust,sim,"",0
MKT-009,E10,"página/painel a compor",so-url,/faq,sim,"",0
MKT-010,E10,"página/painel a compor",so-url,/pilot,sim,"",0
MKT-011,E10,"estado de rota",so-url,/demo/thanks,sim,"",0
MKT-012,E10,"estado de rota",so-url,/404,sim,"",0
AUTH-001,E04,"página",so-url,/auth/login,sim,"",0
AUTH-002,E13,"diálogo/painel ou etapa do fluxo",so-url,/auth/operator-pin,sim,"",0
AUTH-003,E04,"página",so-url,/auth/forgot-password,sim,"",0
AUTH-004,E04,"página",so-url,/auth/reset-password,sim,"",0
AUTH-005,E04,"página",so-url,/auth/mfa,sim,"",0
AUTH-006,E04,"página",so-url,/auth/invite/[token],sim,"",0
AUTH-007,E04,"página",so-url,/auth/organizations,sim,"",0
AUTH-008,E04,"página",so-url,/auth/locations,sim,"",0
AUTH-009,E04,"estado de rota (componente Estado)",so-url,/auth/session-expired,sim,"",0
ONB-001,E06,"página/painel a compor",so-url,/onboarding/organizacao,sim,"",0
ONB-002,E06,"página/painel a compor",so-url,/onboarding/marca,sim,"",0
ONB-003,E06,"página/painel a compor",so-url,/onboarding/unidade,sim,"",0
ONB-004,E05,"página/painel a compor",so-url,/onboarding/plano,sim,"",0
ONB-005,E08,"página/painel a compor",so-url,/onboarding/importar,sim,"",0
ONB-006,E08,"página/painel a compor",so-url,/onboarding/menu,sim,"",0
ONB-007,E13,"página/painel a compor",so-url,/onboarding/sala,sim,"",0
ONB-008,E16,"página/painel a compor",estado-partilhado,/onboarding,sim,"",2
ONB-009,E04,"página",estado-partilhado,/onboarding,sim,"",2
ONB-010,E06,"página/painel a compor",so-url,/onboarding/pronto,sim,"",0
ORG-001,E06,"página/painel a compor",so-url,/app/[orgSlug]/organization/perfil,sim,"",0
ORG-002,E06,"página/painel a compor",so-url,/app/[orgSlug]/organization/marcas,sim,"",0
ORG-003,E06,"página/painel a compor",so-url,/app/[orgSlug]/organization/marcas/[brandId],sim,"",0
ORG-004,E06,"página/painel a compor",so-url,/app/[orgSlug]/organization/unidades,sim,"",0
ORG-005,E06,"página/painel a compor",so-url,/app/[orgSlug]/organization/unidades/[locationId],sim,"",0
ORG-006,E06,"página/painel a compor",so-url,/app/[orgSlug]/organization/unidades/[locationId]/horarios,sim,"",0
ORG-007,E04,"página",estado-partilhado,/app/[orgSlug]/organization,sim,"",3
ORG-008,E04,"página",so-url,/app/[orgSlug]/organization/[membershipId],sim,"",0
ORG-009,E33,"página/painel a compor",estado-partilhado,/app/[orgSlug]/organization,sim,"",3
ORG-010,E05,"página/painel a compor",so-url,/app/[orgSlug]/organization/plano,sim,"",0
ORG-011,E32,"página/painel a compor",estado-partilhado,/app/[orgSlug]/organization,sim,"",3
ORG-012,E32,"página/painel a compor",estado-partilhado,/app/[orgSlug]/organization,sim,"",3
ORG-013,E05,"página/painel a compor",so-url,/app/[orgSlug]/organization/uso,sim,"",0
ORG-014,E05,"página/painel a compor",so-url,/app/[orgSlug]/organization/plano/cambiar,sim,"",0
ORG-015,E06,"diálogo/painel ou etapa do fluxo",so-url,/app/[orgSlug]/organization/plano/cancelar,sim,"",0
CAT-001,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo,sim,"",0
CAT-002,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/menus,sim,"",0
CAT-003,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/menus/[menuId],sim,"",0
CAT-004,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/menus/[menuId]/ordem,sim,"",0
CAT-005,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/categorias,sim,"",0
CAT-006,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/categorias/[categoryId],sim,"",0
CAT-007,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/produtos,sim,"",0
CAT-008,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/produtos/novo,sim,"",0
CAT-009,E07,"página/painel a compor",so-url,/app/[orgSlug]/catalogo/produtos/[productId],sim,"",0
CAT-010,E07,"aba",so-url,/app/[orgSlug]/catalogo/produtos/[productId]/precos,sim,"",0
CAT-011,E07,"aba",so-url,/app/[orgSlug]/catalogo/produtos/[productId]/variantes,sim,"",0
CAT-012,E07,"aba",so-url,/app/[orgSlug]/catalogo/produtos/[productId]/opcoes,sim,"",0
CAT-013,E07,"aba",so-url,/app/[orgSlug]/catalogo/produtos/[productId]/alergenos,sim,"",0
