id,origem,nome_original,titulo_atlas,plano_original,regra_efetiva,etapa_principal,etapas_relacionadas,rota_sugerida,rota_detalhada,view_key,composicao,desktop,mobile,pagina_mapa,pagina_atlas,status,evidencia,decisao_relacionada
MKT-001,complemento atlas,,Todo tu restaurante. Un solo ritmo.,Complemento do atlas,Público BossaOS,E10,,/[locale],sim,MKT-001,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,,7,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
MKT-002,complemento atlas,,Una base para cada parte del servicio,Complemento do atlas,Público BossaOS,E10,,/[locale]?section=product,sim,MKT-002,seção da landing page,obrigatório,obrigatório/adaptado à superfície,,8,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
MKT-003,complemento atlas,,Un plan para tu restaurante,Complemento do atlas,Público BossaOS,E10,,/[locale]?section=plans,sim,MKT-003,seção da landing page,obrigatório,obrigatório/adaptado à superfície,,9,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
MKT-004,complemento atlas,,El producto BossaOS,Complemento do atlas,Público BossaOS,E10,,/[locale]/product,sim,MKT-004,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,,10,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
MKT-005,complemento atlas,,Compara los planes,Complemento do atlas,Público BossaOS,E10,,/[locale]/plans,sim,MKT-005,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,,11,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
MKT-006,complemento atlas,,Así empezamos contigo,Complemento do atlas,Público BossaOS,E10,,/[locale]/onboarding,sim,MKT-006,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,,12,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
MKT-007,complemento atlas,,Ve BossaOS en una demo,Complemento do atlas,Público BossaOS,E10,,/[locale]/demo,sim,MKT-007,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,,13,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
MKT-008,complemento atlas,,Una base para trabajar con confianza,Complemento do atlas,Público BossaOS,E10,,/[locale]/trust,sim,MKT-008,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,,14,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
MKT-009,complemento atlas,,Resolvemos tus dudas,Complemento do atlas,Público BossaOS,E10,,/[locale]/faq,sim,MKT-009,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,,15,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
MKT-010,complemento atlas,,Aprende con la operación real,Complemento do atlas,Público BossaOS,E10,,/[locale]/pilot,sim,MKT-010,página/painel a compor,obrigatório,obrigatório/adaptado à superfície,,16,validado,"Landing comercial da BossaOS. MKT-001/002/003 são secções do mesmo endereço, por parâmetro — um endereço partilhável não pode mudar com o que o visitante rolou. A tabela de planos NÃO publica preços: os escalões são reais, os preços não existem em documento nenhum e inventá-los numa página comercial é uma promessa a quem os leu. móvel medido no navegador a 360, 390, 768, 1280 e 1440 px: transbordo horizontal, elementos fora do ecrã, alvos de toque a 44 px e contraste WCAG. Toda a visita afirma o endereço final e um marcador da própria tela. · inspeccao/marketing.spec.ts · VALIDADO 04/09 pelo sénior: provar-sites.sh 0 falhas, 11 passos, 8 controlos negativos — o catch largo, a regra preguiçosa e a porta que serve sem prova de controlo; e 254 casos de navegador corridos pelo revisor, não declarados",
